step	accuracy
2	0.49633699655532837
3	0.5274725556373596
4	0.5421245694160461
5	0.529304027557373
6	0.5750916004180908
7	0.5476190447807312
8	0.5549450516700745
9	0.5879120826721191
10	0.5952380895614624
11	0.5824176073074341
12	0.5824176073074341
13	0.5879120826721191
14	0.5787546038627625
15	0.6282051205635071
16	0.6043956279754639
17	0.6373626589775085
18	0.6245421171188354
19	0.6520146727561951
20	0.6318681240081787
21	0.6263736486434937
22	0.6190476417541504
23	0.6062270998954773
24	0.6501831412315369
25	0.6556776762008667
26	0.6373626589775085
27	0.6483516693115234
28	0.6245421171188354
29	0.6776556968688965
30	0.6483516693115234
31	0.6520146727561951
32	0.6721611618995667
33	0.6611721515655518
34	0.6483516693115234
35	0.6575091481208801
36	0.6538461446762085
37	0.6483516693115234
38	0.6538461446762085
39	0.6336996555328369
40	0.6373626589775085
41	0.6611721515655518
42	0.6593406796455383
43	0.6355311274528503
44	0.6703296899795532
45	0.6648351550102234
46	0.6501831412315369
47	0.6813187003135681
48	0.6813187003135681
49	0.6538461446762085
50	0.692307710647583
51	0.6996337175369263
